id,default_code,name,categ,kiss_cost,btv_cost,cmn_cost,kiss_taxes,btv_taxes,cmn_taxes,kiss_stx,btv_stx,cmn_stx,kiss_sellers,btv_sellers,cmn_sellers,route_ids,tracking
15457,,MALISSA-KISS Scented Candle 80 g,Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
30238,,MALISSA-KISS Scented Candle 80 g [CL],Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
15458,,MALISSA-KISS Serum Sheet Mask 25 g,Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,1,1,1,7|5|16,lot
30239,,MALISSA-KISS Serum Sheet Mask 25 g [CL],Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
15459,,MALISSA-KISS Soothing Gel 230 g,Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,2,2,2,7|5,lot
30240,,MALISSA-KISS Soothing Gel 230 g [CL],Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,5,lot
15461,AVH290,MALISSA-KISS Soothing Gel 290 g,Finished Goods / Finished Goods - Domestic,33.36409511494872,33.36409511494872,33.36409511494872,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,1,1,1,7|5,lot
30242,AVH290-CL,MALISSA-KISS Soothing Gel 290 g [CL],Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5,lot
15462,TWU030,MALISSA-KISS Total White Underarm Cream 30 g,Finished Goods / Finished Goods - Domestic,21.52326882488987,21.52326882488987,21.52326882488987,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
30243,TWU030-CL,MALISSA-KISS Total White Underarm Cream 30 g [CL],Finished Goods / Finished Goods - Domestic,22.227903841772154,22.227903841772154,22.227903841772154,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,5,lot
